latitude;longitude;bright_ti4;scan;track;type
-117.522;10.966.684;305.08.00;00.39;00.36;0
-112.877;10.950.222;313.03.00;00.39;00.36;0
-131.171;11.008.242;305.05.00;00.38;00.36;0
-112.249;11.034.202;306.06.00;00.38;00.36;0
-204.787;11.020.065;313;00.38;00.36;0
-22.058;11.378.884;315;00.49;00.04;0
-303.253;11.097.548;308.05.00;00.39;00.36;0
-302.528;110.973;315.09.00;00.39;00.36;0
-131.117;11.007.896;333.06.00;00.38;00.36;0
-111.597;10.948.624;316.02.00;00.39;00.36;0
-205.557;11.018.908;303.02.00;00.38;00.36;0
-203.907;1.101.879;311.08.00;00.38;00.36;0
-104.704;10.999.306;302.09.00;00.39;00.36;0
-302.193;11.097.352;310.08.00;00.39;00.36;0
-191.944;11.018.184;303;00.38;00.36;0
-19.189;11.017.839;302.09.00;00.38;00.36;0
-197.471;11.057.613;309.01.00;00.38;00.36;0
-106.496;10.989.091;307.01.00;00.39;00.36;0
-165.651;11.027.566;312.06.00;00.38;00.36;0
-494.595;11.962.608;317.09.00;00.43;0,043055556;2
-165.596;11.027.221;302.06.00;00.38;00.36;0
-11.602;10.967.989;308.02.00;00.39;00.36;0
-112.407;10.971.054;310.04.00;00.39;00.36;0
-112.242;10.970.009;309.01.00;00.39;00.36;0
-165.373;11.027.962;304.06.00;00.38;00.36;0
-165.319;11.027.618;317.04.00;00.38;00.36;0
-165.265;11.027.273;305.05.00;00.38;00.36;0
-20.369;1.101.741;304.09.00;00.38;00.36;0
-203.853;11.018.445;306.04.00;00.38;00.36;0
-204.021;11.017.358;345;00.38;00.36;0
-204.076;11.017.703;316.05.00;00.38;00.36;0
-204.353;11.017.307;324.05.00;00.38;00.36;0
-259.918;11.331.849;320.07.00;00.47;00.39;0
-286.645;11.292.648;351.01.00;00.45;00.39;0
-286.708;11.293.053;312.01.00;00.45;00.39;0
-287.423;11.292.944;303.04.00;00.45;00.39;0
-28.736;11.292.538;306.02.00;00.45;00.39;0
-287.002;11.292.593;329.02.00;00.45;00.39;0
-17.323;1.102.391;318.06.00;00.38;00.36;0
-173.535;11.023.865;304.02.00;00.38;00.36;0
-256.584;11.291.568;319.08.00;00.45;00.39;0
-173.437;1.059.912;305.02.00;00.53;00.42;0
-256.774;11.292.775;312.08.00;00.45;00.39;0
-289.712;11.307.658;313.01.00;00.46;00.39;0
-174.517;1.059.845;320.08.00;00.53;00.42;0
-174.209;10.599.001;324.07.00;00.53;00.42;0
-173.823;1.059.906;330.01.00;00.53;00.42;0
-286.876;11.291.782;342.07.00;00.45;00.39;0
-289.038;11.286.893;316.03.00;00.45;00.39;0
-288.682;11.286.948;310.09.00;00.45;00.39;0
-289.165;112.877;305.06.00;00.45;00.39;0
-290.133;11.289.207;314.04.00;00.45;00.39;0
-290.579;11.292.043;304.08.00;00.45;00.39;0
-287.234;11.291.727;320.09.00;00.45;00.39;0
-29.007;11.288.804;323.01.00;00.45;00.39;0
-289.292;11.288.509;346.09.00;00.45;00.39;0
-289.649;11.288.454;307.01.00;00.45;00.39;0
-289.355;11.288.913;346.06.00;00.45;00.39;0
-289.712;11.288.858;351.07.00;00.45;00.39;0
-289.419;11.289.317;322.01.00;00.45;00.39;0
-287.297;11.292.132;341.06.00;00.45;00.39;0
-290.196;1.128.961;314;00.45;00.39;0
-257.067;11.292.318;336.06.00;00.45;00.39;0
-289.351;11.307.713;318.06.00;00.46;00.39;0
-289.776;11.308.069;350.08.00;00.46;00.39;0
-29.026;11.290.016;305.07.00;00.45;00.39;0
-256.711;11.292.373;328.01.00;00.45;00.39;0
-290.784;11.288.694;301.09.00;00.45;00.39;0
-256.521;11.291.166;305.08.00;00.45;00.39;0
-288.871;11.288.158;314.07.00;00.45;00.39;0
-305.239;11.407.816;308.09.00;00.52;00.41;0
-30.562;11.407.758;303.05.00;00.52;00.41;0
-304.569;1.140.601;316.04.00;00.52;00.41;0
-30.495;11.405.952;323.06.00;00.52;00.41;0
-305.332;11.405.894;310.09.00;00.52;00.41;0
-290.554;11.289.555;311.09.00;00.45;00.39;0
-311.346;11.402.871;307.09.00;00.52;00.41;0
-309.144;11.405.312;303;00.52;00.41;0
-30.934;11.405.083;304.08.00;00.52;00.41;0
-111.908;10.970.061;326.09.00;00.39;00.36;0
